tarih,adres,aciklama
19/08/2021,http://personel.meb.gov.tr/www/sozlesmeli-ogretmenlerin-saglik-mazeretine-bagli-iller-arasi-yer-degistirme-duyurusu/icerik/1214,Sözleşmeli Öğretmenlerin Sağlık Mazeretine Bağlı İller Arası Yer Değiştirme Duyurusu 
19/08/2021,http://oygm.meb.gov.tr/www/05-eylul-2021-adaylik-kaldirma-sinavi-aks-basvuru-ek-sure-verilmesi/icerik/916,05 Eylül 2021 Adaylık Kaldırma Sınavı (AKS) Başvuru  Ek Süre Verilmesi 
18/08/2021,http://personel.meb.gov.tr/www/2021-mart-sozlesmeli-ogretmen-atamasi-takvim-degisikligine-iliskin-aciklama/icerik/1212,2021 Mart Sözleşmeli Öğretmen Ataması Takvim Değişikliğine İlişkin  Açıklama 
04/08/2021,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-kilavuzu-05-eylul-2021/icerik/911,Adaylık Kaldırma Sınavı (AKS) Kılavuzu (05 Eylül 2021) 
16/07/2021,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2021-yili-iller-arasi-istege-bagli-yer-degistirme-sonuclari/icerik/1201,Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2021 Yılı İller Arası İsteğe Bağlı Yer Değiştirme Sonuçları 
09/07/2021,http://www.meb.gov.tr/meb_iys_dosyalar/2021_07/09110254_MEB_Gorevde_yukselme_Duyuru_Takvim.pdf,"Meb Personelinin Görevde Yükselme, Unvan Değişikliği Ve Yer Değiştirme Suretiyle Atanması Hakkında Duyuru Ve Takvim "
25/06/2021,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2021-yili-iller-arasi-istege-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1194,Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2021 Yılı İller Arası İsteğe Bağlı Yer Değiştirmelerine İlişkin Duyuru 
07/06/2021,http://personel.meb.gov.tr/www/2021-yili-ogretmenlerin-iller-arasi-istege-ve-zorunlu-calisma-yukumlulugune-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1189,2021 Yılı Öğretmenlerin İller Arası İsteğe ve Zorunlu Çalışma Yükümlülüğüne Bağlı Yer Değiştirmelerine İlişkin Duyuru 
07/06/2021,http://personel.meb.gov.tr/www/2021-yili-ogretmenlerin-il-ici-yer-degistirme-duyurusu/icerik/1188,2021 Yılı Öğretmenlerin İl İçi Yer Değiştirme Duyurusu 
20/05/2021,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sozlu-sinavina-cagrilacak-adaylar-hakkinda-duyuru/icerik/1184,Sözleşmeli Bilişim Personeli Sözlü Sınavına Çağrılacak Adaylar Hakkında Duyuru 
04/05/2021,http://abdigm.meb.gov.tr/www/belcika/icerik/1584,Belçika Hükumetince Verilecek 3 Adet Fransızca Dil Bursu Duyurusu 
27/04/2021,http://abdigm.meb.gov.tr/www/hirvatistan/icerik/1579,Hırvatistan Hûkümetince Verilen 8 Ay Süreli Doktora Sonrası Çalışmalar ya da Doktora Araştırma Bursu Duyurusu 
15/04/2021,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-sozlesmeli-bilisim-personeli-alimi/icerik/1170,Millî Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Alımı 
26/04/2021,http://oygm.meb.gov.tr/www/25-nisan-2021-adaylik-kaldirma-sinavi-aks-iptali-hakkinda-duyuru/icerik/893,25 Nisan 2021 Adaylık Kaldırma Sınavı (AKS) İptali Hakkında Duyuru 
01/04/2021,http://yegitek.meb.gov.tr/www/guvenli-okullasma-ve-uzaktan-egitim-projesi-danismanlik-firmalari-icin-ilgi-bildirimine-davet-ilani/icerik/3184,GÜVENLİ OKULLAŞMA VE UZAKTAN EĞİTİM PROJESİ DANIŞMANLIK FİRMALARI İÇİN İLGİ BİLDİRİMİNE DAVET İLANI 
25/03/2021,http://oygm.meb.gov.tr/www/25-nisan-2021-adaylik-kaldirma-sinavi-aks-ucret-yatirma-ek-sure-hakkinda-duyuru/icerik/886,25 Nisan 2021 Adaylık Kaldırma Sınavı (AKS) Ücret Yatırma Ek Süre Hakkında Duyuru 
22/03/2021,http://personel.meb.gov.tr/www/2021-yili-mill-egitim-bakanligina-bagli-egitim-kurumlarina-yonetici-gorevlendirme-takvimleri/icerik/1168,2021 Yılı Millî Eğitim Bakanlığına Bağlı Eğitim Kurumlarına Yönetici Görevlendirme Takvimleri 
08/03/2021,http://abdigm.meb.gov.tr/www/tayland/icerik/1537,TAYLAND HÜKÜMET BURSU DUYURUSU 
05/03/2021,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-kilavuzu-25-nisan-2021/icerik/883,Adaylık Kaldırma Sınavı (AKS) Kılavuzu (25 Nisan 2021) 
03/03/2021,http://sgb.meb.gov.tr/www/meb-2020-yili-idare-faaliyet-raporu-yayinlanmistir/icerik/409,MEB 2020 YILI İDARE FAALİYET RAPORU YAYINLANMIŞTIR. 
02/03/2021,http://abdigm.meb.gov.tr/www/2021-2022-hukmet-burslari/icerik/1490,Ukrayna Hükûmetince Tahsis Edilen Burslar 
23/02/2021,/staj-seferberligi-projesi-kapsaminda-staj-basvurulari-basladi/duyuru/22607,STAJ SEFERBERLİĞİ PROJESİ KAPSAMINDA STAJ BAŞVURULARI BAŞLADI 
12/02/2021,http://yegitek.meb.gov.tr/www/28000-yirmi-sekiz-bin-adet-etkilesimli-tahta-alimina-ait-ihale-ilani/icerik/3152,28.000 (Yirmi sekiz bin) ADET ETKİLEŞİMLİ TAHTA ALIMINA AİT İHALE İLANI 
10/02/2021,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-personeline-yonelik-unvan-degisikligi-e-sinavina-iliskin-duyuru/icerik/1155,Millî Eğitim Bakanlığı Personeline Yönelik Unvan Değişikliği e-Sınavına İlişkin Duyuru 
05/02/2021,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-personeline-yonelik-unvan-degisikligi-yazili-sinavi-hakkinda-duyuru/icerik/1152,Millî Eğitim Bakanlığı Personeline Yönelik Unvan Değişikliği Yazılı Sınavına İlişkin Duyuru 
29/01/2021,/yabanci-hukumetlerce-tahsis-edilen-lisans-ve-lisansustu-burslar/duyuru/22442,Yabancı Hükümetlerce Tahsis Edilen Lisans ve Lisansüstü Burslar 
28/01/2021,/altyapi-calismasi/duyuru/22432,Altyapı Çalışması 
20/01/2021,http://personel.meb.gov.tr/www/osym-tarafindan-yapilan-kpss-20202-yerlestirmeleri-sonucunda-bakanligimiz-merkez-teskilati-kadrolarina-yerlesen-adaylara-iliskin-duyuru/icerik/1144,ÖSYM Tarafından Yapılan KPSS 2020/2 Yerleştirmeleri Sonucunda Bakanlığımız Merkez Teşkilatı Kadrolarına Yerleşen Adaylara İlişkin Duyuru 
22/12/2020,http://oygm.meb.gov.tr/www/2021-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/863,2021 YILINDA YAPILACAK ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU 
21/12/2020,/yurt-disinda-gorevlendirilecek-ogretim-uyesiogretim-gorevlisiokutman-secme-sinavi-kilavuzu-2021/duyuru/22208,Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Seçme Sınavı Kılavuzu - 2021 
21/12/2020,/yurt-disinda-gorevlendirilecek-ogretmenleri-secme-sinavi-kilavuzu-2021/duyuru/22206,Yurt Dışında Görevlendirilecek Öğretmenleri Seçme Sınavı Kılavuzu - 2021 
17/12/2020,/dysde-altyapi-ve-guncelleme-calismasi-yapilacaktir/duyuru/22180,DYS'de altyapı ve güncelleme çalışması yapılacaktır 
27/11/2020,/staj-seferberligi-projesi-kapsaminda-staj-basvurulari-basladi/duyuru/22049,Staj Seferberliği Projesi Kapsamında Staj Başvuruları Başladı 
19/11/2020,http://abdigm.meb.gov.tr/www/2021-2022-hukmet-burslari/icerik/1490,2021-2022 Akademik Yılı Macaristan Devlet Bursları Duyurusu 
29/09/2020,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=D0C8779E018823DD0AFED7A76EE6D678,2020-2021 Eğitim Öğretim Yılı Öğretmenlik Bursu Sonuçları 
21/09/2020,http://oygm.meb.gov.tr/www/2020-yili-ogretmenler-gunu-genelgesi-yayinlandi/icerik/832,2020 Yılı Öğretmenler Günü Genelgesi Yayınlandı 
08/09/2020,http://yegitek.meb.gov.tr/www/iletisim-cevre-ve-sosyal-uzman-alim-ilani/icerik/3077,"İletişim, Çevre ve Sosyal Uzman Alım İlanı "
04/09/2020,http://sgb.meb.gov.tr/www/milli-egitim-istatistikleri-yayinlanmistir-orgun-egitim-20192020/icerik/397,Milli Eğitim İstatistikleri Yayınlanmıştır (Örgün Eğitim 2019/2020 ) 
28/08/2020,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-sozlesmeli-bilisim-personeli-sozlu-sinavi-sonuclarina-iliskin-duyuru/icerik/1103,Millî Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Sözlü Sınavı Sonuçlarına İlişkin Duyuru 
02/09/2020,http://tegm.meb.gov.tr/www/canakkale-savaslarinin-105-yil-donumu-anma-torenleri-kapsaminda-resim-siir-ve-kompozisyon-yarismasinda-derece-alan-eserler-belirlendi/icerik/679,Çanakkale Savaşlarının 105. Yıl Dönümü Anma Törenleri Kapsamında Resim-Şiir ve Kompozisyon Yarışmasında Derece Alan Eserler Belirlendi. 
02/09/2020,http://tegm.meb.gov.tr/www/15-temmuz-demokrasi-ve-mill-birlik-gunu-etkinlikleri-kapsaminda-resim-yarismasinda-derece-alan-eserler-belirlendi/icerik/678,15 Temmuz Demokrasi ve Millî Birlik Günü Etkinlikleri Kapsamında Resim Yarışmasında Derece Alan Eserler Belirlendi. 
26/08/2020,http://mtegm.meb.gov.tr/www/anadolu-meslek-programi-9-uncu-sinifa-yerel-yerlestirme-ile-kayit-yaptirmis-ogrencilerin-meslek-alanlarina-gecis-islemlerinin-nasil-yapilacagi-ile-ilgili-kilavuz-yayimlanmistir/icerik/2774,Anadolu Meslek Programı 9 uncu Sınıf Öğrencilerinin Alana Geçiş Kılavuzu Yayımlandı 
18/08/2020,http://oygm.meb.gov.tr/www/26-temmuz-2020-adaylik-kaldirma-sinav-sonuc-duyurusu/icerik/819,26 Temmuz 2020 Adaylık Kaldırma Sınav Sonuç Duyurusu 
17/08/2020,http://www.meb.gov.tr/meb_iys_dosyalar/2020_08/17130029_2020_YlkoYretim_ve_OrtaoYretim_KurumlarY_Bursluluk_SYnavY_BaYvuru_ve_Uygulama_KYlavuzuGuncel.pdf,2020 İlköğretim ve Ortaöğretim  Kurumları Bursluluk Sınavı Başvuru ve Uygulama Kılavuzu 
19/08/2020,http://yegitek.meb.gov.tr/www/satin-alma-ve-mali-yonetim-uzmani-alimi/icerik/3072,Satın Alma ve Mali Yönetim Uzmanı Alımı 
29/07/2020,/ogretmen-yetistirme-ve-gelistirme-genel-mudurlugu-adaylik-kaldirma-sinavi-soru-kitapcigi-ve-cevap-anahtari/duyuru/21373,Öğretmen Yetiştirme ve Geliştirme Genel Müdürlüğü Adaylık Kaldırma Sınavı Soru Kitapçığı ve Cevap Anahtarı 
27/07/2020,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sozlu-sinavina-cagrilacak-adaylar-hakkinda-duyuru/icerik/1086,Sözleşmeli Bilişim Personeli Sözlü Sınavına Çağrılacak Adaylar Hakkında Duyuru 
17/07/2020,/26072020-tarihli-adaylik-kaldirma-sinavi-sinav-giris-belgesi/duyuru/21313,26/07/2020 Tarihli Adaylık Kaldırma Sınavı Sınav Giriş Belgesi 
16/07/2020,http://personel.meb.gov.tr/www/mill-sporcularin-beden-egitimi-alanina-sozlesmeli-ogretmen-olarak-atanma-sonuclari-haziran-2020/icerik/1078,Millî Sporcuların Beden Eğitimi Alanına Sözleşmeli Öğretmen Olarak Atanma Sonuçları (Haziran 2020) 
10/07/2020,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2020-yili-iller-arasi-istege-bagli-yer-degistirme-sonuclari/icerik/1077,Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2020 Yılı İller Arası İsteğe Bağlı Yer Değiştirme Sonuçları 
06/07/2020,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-alim-ilani/icerik/1072,Sözleşmeli Bilişim Personeli Alım İlanı 
30/06/2020,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2020-yili-iller-arasi-istege-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1071,Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2020 Yılı İller Arası İsteğe Bağlı Yer Değiştirmelerine İlişkin Duyuru 
26/06/2020,http://oygm.meb.gov.tr/www/26-temmuz-2020-adaylik-kaldirma-sinavi-aks-ucret-yatirma-ek-sure-hakkinda-duyuru/icerik/813,26 Temmuz 2020 Adaylık Kaldırma Sınavı (AKS) Ücret Yatırma Ek Süre Hakkında Duyuru 
15/06/2020,http://www.meb.gov.tr/meb_iys_dosyalar/2020_06/15165252_EGM_Misyon_Koruma_SYnavY_Duyurusu.pdf,Emniyet Genel Müdürlüğü Misyon Koruma Sınavı Duyurusu 
11/10/2021,http://yegitek.meb.gov.tr/www/duzeltme-ilani-genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesine-iliskin-duzeltme-ilanidir-12062020/icerik/3059,(Düzeltme İlanı) Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesine ilişkin Düzeltme İlanıdır - 12.06.2020 
01/06/2020,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-e-kilavuzu-26-temmuz-2020/icerik/807,Adaylık Kaldırma Sınavı (AKS) e- Kılavuzu (26 Temmuz 2020) 
31/05/2020,/acik-ogretim-okullarinin-ikinci-donem-sinavlari-25-26-temmuzda-yapilacak/duyuru/21019,AÇIK ÖĞRETİM OKULLARININ İKİNCİ DÖNEM SINAVLARI 25-26 TEMMUZ'DA YAPILACAK 
11/10/2021,http://yegitek.meb.gov.tr/www/duzeltme-ilani-genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesine-iliskin-duzeltme-ilanidir/icerik/3051,(Düzeltme İlanı) Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesine ilişkin Düzeltme İlanıdır 
19/08/2021,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-mayis-ayi-2-calisma-sorulari-yayimlandi/icerik/545,Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Mayıs Ayı 2. Çalışma Soruları Yayımlandı 
11/10/2021,http://yegitek.meb.gov.tr/www/genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesi-ilani/icerik/3045,Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesi İlanı 
16/04/2020,/sistem-bakim-ve-iyilestirme-calismasi/duyuru/20718,Sistem Bakım ve İyileştirme Çalışması 
19/08/2021,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-nisan-ayi-ornek-sorulari-yayimlandi/icerik/527,Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Nisan Ayı Örnek Soruları Yayımlandı 
06/04/2020,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sinav-ilanina-iliskin-duyuru/icerik/1030,Sözleşmeli Bilişim Personeli Sınav İlanına İlişkin Duyuru 
21/08/2020,http://personel.meb.gov.tr/www/2020-haziran-sozlesmeli-ogretmen-atama-takvimi-ve-kontenjanlar/icerik/1029,2020 Haziran Sözleşmeli Öğretmen Atama Takvimi ve Kontenjanlar 
21/03/2020,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-tarih-degisikligi/icerik/792,Adaylık Kaldırma Sınavı (AKS) Tarih Değişikliği 
11/10/2021,http://yegitek.meb.gov.tr/www/18000-on-sekiz-bin-adet-etkilesimli-tahta-ihale-ilani/icerik/3032,18.000 (On sekiz bin) Adet Etkileşimli Tahta İhale İlanı 
18/03/2020,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-alim-ilani/icerik/1024,Sözleşmeli Bilişim Personeli Alım İlanı 
13/03/2020,http://orgm.meb.gov.tr/www/bilsem-ogretmen-secme-ve-atama-tarihlerinin-ertelenmesi-duyurusu/icerik/1294,BİLSEM ÖĞRETMEN SEÇME VE ATAMA TARİHLERİNİN ERTELENMESİ DUYURUSU 
14/03/2020,http://orgm.meb.gov.tr/www/bilsem-grup-tarama-uygulamalari-duyurusu/icerik/1293,BİLSEM GRUP TARAMA UYGULAMALARI DUYURUSU 
28/02/2020,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-e-kilavuzu-25-nisan-2020/icerik/789,Adaylık Kaldırma Sınavı (AKS) e- Kılavuzu (25 Nisan 2020) 
28/01/2020,http://www.meb.gov.tr/meb_iys_dosyalar/2020_01/28152051_2020_MTSK_e-SYnav_Uygulama_KYlavuzu.pdf,2020 MTSK e-Sınav Uygulama Kılavuzu 
24/01/2020,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=12F02333533CE3D52E00DC4256BBA523,"2020 Yılı Yurt Dışında Görevlendirilecek Öğretim Üyesi, Öğretim Görevlisi, Okutman Başvurusu Ön Değerlendirme Sonuçları "
19/08/2021,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-ocak-ayi-ornek-sorulari-yayimlandi/icerik/508,Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Ocak Ayı Örnek Soruları Yayımlandı 
21/01/2020,http://personel.meb.gov.tr/www/2020-ocak-sozlesmeli-ogretmenlik-sozlu-sinav-yeri-bilgisi/icerik/1009,2020 Ocak Sözleşmeli Öğretmenlik Sözlü Sınav Yeri Bilgisi 
20/01/2020,http://personel.meb.gov.tr/www/egitim-kurumlarina-yonetici-secme-sinavi-duyurusu-2020-meb-ekys/icerik/1008,Eğitim Kurumlarına Yönetici Seçme Sınavı Duyurusu (2020-MEB-EKYS) 
09/01/2020,http://abdigm.meb.gov.tr/www/egitimde-mukemmeliyet-ve-basari-programi-tea/icerik/1375,Eğitimde Mükemmeliyet ve Başarı Programı (TEA) 
07/01/2020,http://ogm.meb.gov.tr/www/uluslararasi-yarismalarda-derece-alan-ogrenciler/icerik/842,Uluslararası Yarışmalarda Derece Alan Öğrenciler 
27/12/2019,http://oygm.meb.gov.tr/www/2020-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/780,2020 YILINDA YAPILACAK ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU 
24/12/2019,http://oygm.meb.gov.tr/www/8-aralik-2019-adaylik-kaldirma-sinav-sonuc-duyurusu/icerik/778,8 Aralık 2019 Adaylık Kaldırma Sınav Sonuç Duyurusu 
20/12/2019,http://www.meb.gov.tr/meb_iys_dosyalar/2019_12/20171132_2020_YarY_YYl_Donemi_Kadrolu_OYretmenlerin_Aile_BirliYi_SaYlYk_Can_GuvenliYi_Mazeretleri_Ve_Engellilik_Durumu_Yle_DiYer_Nedenlere_BaYlY_Yer_DeYiYtirme_Duyurusu_.pdf,"2020 Yarı Yıl Dönemi Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı Yer Değiştirme Duyurusu "
20/12/2019,http://personel.meb.gov.tr/www/2020-ocak-sozlesmeli-ogretmen-atama-duyurusu/icerik/1000,2020 Ocak Sözleşmeli Öğretmen Atama Duyurusu 
10/12/2019,http://yyegm.meb.gov.tr/www/2019-ylsy-kurum-kontenjanlarina-yerlesmeye-hak-kazanan-adaylarin-belge-teslimi-hakkinda-duyuru-guncelleme/icerik/450,2019 YLSY - Kurum Kontenjanlarına Yerleşmeye Hak Kazanan Adayların Belge Teslimi Hakkında Duyuru - GÜNCELLEME 
02/12/2019,http://abdigm.meb.gov.tr/www/macaristan/icerik/1349,"Macaristan Hükumeti Tarafından 2020-2021 Akademik Yılı için 40 Lisans, 65 Yüksek Lisans, 40 Doktora ve 5 Kısa Dönem Bursu Duyurusu "
26/11/2019,http://www.meb.gov.tr/stratejik_plan/,MİLLÎ EĞİTİM BAKANLIĞI 2019-2023 STRATEJİK PLANI YAYINLANMIŞTIR 
22/11/2019,http://yyegm.meb.gov.tr/www/2019-ylsy-kurum-kontenjanlarina-yerlesmeye-hak-kazanan-adaylarin-belge-teslimi-hakkinda-duyuru/icerik/441,2019 YLSY Kurum Kontenjanlarına Yerleşmeye Hak Kazanan Adayların Belge Teslimi Hakkında Duyuru 
20/11/2019,/2020-bilim-ve-sanat-merkezlerine-ogretmen-secme-ve-atama-kilavuzu-yayinlandi/duyuru/19712,2020 Bilim ve Sanat Merkezlerine Öğretmen Seçme ve Atama Kılavuzu Yayınlandı 
19/11/2019,http://oygm.meb.gov.tr/www/08-aralik-2019-adaylik-kaldirma-sinavi-aks-ucret-yatirma-suresinin-uzatilmasi-hakkinda-duyuru/icerik/765,08 Aralık 2019 Adaylık Kaldırma Sınavı (AKS) Ücret Yatırma Süresinin Uzatılması Hakkında Duyuru 
12/11/2019,http://yyegm.meb.gov.tr/www/2019-ylsy-sozlu-sinavda-basarili-olan-adaylarin-kurum-tercihlerinin-alinmasi-yerlestirme-islemleri/icerik/435,2019 YLSY - Sözlü Sınavda Başarılı Olan Adayların Kurum Tercihlerinin Alınması (Yerleştirme İşlemleri) 
07/11/2019,/sistem-bakim-calismasi/duyuru/19650,Sistem Bakım Çalışması 
01/11/2019,http://yyegm.meb.gov.tr/www/2019-ylsy-yurt-disina-lisansustu-ogrenim-gormek-uzere-gonderilecek-ogrencilerin-sozlu-sinav-sonuclari-aciklanmistir/icerik/432,2019 YLSY - Yurt Dışına Lisansüstü Öğrenim Görmek Üzere Gönderilecek Öğrencilerin Sözlü Sınav Sonuçları Açıklanmıştır 
19/08/2021,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-ekim-ayi-ornek-sorulari-yayimlandi/icerik/495,Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Ekim Ayı Örnek Soruları Yayımlandı 
17/10/2019,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-08-aralik-2019/icerik/763,Adaylık Kaldırma Sınavı  (08 Aralık 2019) 
23/09/2019,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=DC461E4B5B5043EAD3E23BE7FC4094A0,2019-2020 Eğitim-Öğretim Yılı Öğretmenlik Bursu Sonuçları 
23/09/2019,http://yyegm.meb.gov.tr/www/2019-ylsy-sozlu-sinava-girmeye-hak-kazanan-adaylarin-sozlu-sinav-giris-belgeleri-yayimlanmistir/icerik/427,2019 YLSY - Sözlü Sınava Girmeye Hak Kazanan Adayların Sözlü Sınav Giriş Belgeleri Yayımlanmıştır 
06/09/2019,http://sgb.meb.gov.tr/www/milli-egitim-istatistikleri-yayinlanmistir-orgun-egitim-20182019/icerik/362,Milli Eğitim İstatistikleri Yayınlanmıştır (Örgün Eğitim 2018/2019 ) 
